hist_lag,rebalancing_frequency,risk_tolerance,Return,Volatility,Sharpe Ratio,Portfolio Combination,risk_score
252,105,0.8,0.005270022,0.027026169,3.032660769,"{'CEG': 16444.51, 'ERIE': 2496.85, 'FSLR': 23072.06, 'LW': 6550.09, 'SMCI': 311132.64}",0.67
378,126,0.9,0.005150287,0.027000128,2.903698302,"{'AZO': 54.03, 'DVN': 16072.17, 'DLTR': 8179.64, 'LLY': 760.83, 'MCK': 11135.62, 'OXY': 43327.95, 'VRTX': 3455.49}",0.66
252,126,0.7,0.00590991,0.026991288,3.353021727,"{'ABBV': 6955.62, 'CF': 3328.04, 'DLTR': 11573.46, 'MCK': 6914.1, 'OXY': 30620.27, 'VRTX': 8155.29}",0.66
252,252,1,0.006332758,0.026978634,3.535937154,"{'AMD': 628.73, 'ANET': 12295.13, 'BLDR': 9315.96, 'DVN': 85351.84, 'FTNT': 14326.35, 'NVDA': 82188.04}",0.66
378,252,0.9,0.005312793,0.026976419,3.078194908,"{'BLDR': 2371.19, 'DVN': 71787.03, 'EXR': 2810.07, 'F': 66090.73, 'FTNT': 40985.77, 'IT': 1445.93, 'MRO': 26408.08, 'NVDA': 20974.21}",0.65
252,231,1,0.005921534,0.026842698,3.388226728,"{'CEG': 35061.85, 'ENPH': 9571.6, 'EQT': 60585.76, 'OXY': 23234.8}",0.65
378,252,0.8,0.005321082,0.02678773,3.116627703,"{'DVN': 77356.78, 'EXR': 3398.31, 'F': 67681.79, 'FTNT': 47294.1, 'IT': 1225.09, 'NVDA': 15714.51}",0.64
252,168,0.7,0.005790591,0.026660797,3.406688687,"{'CEG': 38556.16, 'EQT': 50647.31, 'MCK': 2134.87, 'OXY': 49941.6}",0.64
378,168,0.6,0.005449812,0.02665737,3.161251565,"{'CF': 17181.18, 'CTRA': 52.36, 'DVN': 18046.64, 'EQT': 52867.28, 'MCK': 4029.67, 'OXY': 37754.34, 'SMCI': 36550.32}",0.64
378,189,0.8,0.005151357,0.026622394,3.03819127,"{'ANET': 5137.34, 'CF': 5636.03, 'DVN': 40607.33, 'FTNT': 5098.77, 'MRO': 38633.35, 'NUE': 5391.86, 'NVDA': 34148.82, 'PANW': 3202.1, 'TRGP': 30107.22}",0.63
252,252,0.9,0.006278257,0.026449763,3.57374738,"{'AMD': 25.54, 'ANET': 12824.27, 'BLDR': 9276.82, 'DVN': 85825.31, 'FTNT': 14281.05, 'NVDA': 82057.48}",0.63
378,189,0.7,0.005076556,0.026418961,2.997168773,"{'ANET': 5415.95, 'CF': 5528.06, 'COST': 203.83, 'DVN': 39504.89, 'FTNT': 4722.37, 'MRO': 34819.49, 'NUE': 5335.17, 'NVDA': 32719.41, 'PANW': 3464.22, 'TRGP': 30872.79}",0.62
252,231,0.9,0.005879241,0.026340616,3.459184825,"{'CEG': 35931.53, 'ENPH': 9148.87, 'EQT': 60978.19, 'OXY': 23658.43}",0.62
